Team,offense,defense,contact,power,plate_discipline,baserunning
- - -,-0.9864696717294904,-1.8837565967369476,-0.7532256811935036,-1.4534692176218582,0.040582364605643476,-0.6278873450883363
ARI,1.892367490686051,0.5661138870840572,1.8164334711108228,1.038218736062773,1.3138923288786106,1.299377663942791
ATL,0.027183638608832127,0.026404204757588357,-1.8862800676481624,1.5022036012072704,-0.5193309313929244,-1.1232945153031808
BAL,1.1519782543344523,-0.2977240170735496,0.112252643256184,1.320773621887946,-0.32506161329508937,0.44665778467343886
BOS,0.7978243545333046,-1.0263771283642142,-1.0775409830313816,1.373166390190753,-0.25405648701681466,0.7528272368740075
CHC,0.6302460261016424,0.9398184453759182,-0.4484731220781171,0.5563882991819485,0.446268046137639,1.5979561379896268
CHW,-2.089085587717846,-2.685398879568991,0.13435332094390945,-2.122430302571109,-1.649950263285223,-1.1432304175251062
CIN,-1.383713344419409,-0.7291121388138704,0.1727259261599637,-0.4443364543397617,0.7341792431006176,1.1576794050731065
CLE,0.17183195006368032,0.6480134250213969,0.6467282159083285,-0.4021738397978916,-1.3926396665135072,-0.3193080585532493
COL,-1.6576187203630517,-0.5546964561695359,-1.6589588114315479,0.6430667904726785,-1.5516022192773142,-0.20652781169778595
DET,-0.12373064228495496,0.783400438969666,-0.43710705926728166,0.49392879810480567,0.39568905207626437,0.8962123797778551
HOU,1.6686552258673708,0.34258605727931807,0.8622405756980998,0.2465242808511831,-0.9791399683126168,-1.5778330859630783
KCR,-0.88550750313609,1.1818770797240556,1.7858325327739746,-0.7655567455936446,-0.3863400099457896,0.6414928906192554
LAA,-0.7400259076098319,-1.0074602653928286,-0.3983591178667272,-1.0286229359445325,0.4922489498295364,-1.864910077958803
LAD,1.1952028231759522,-0.5941295670282548,-0.4979966814681612,0.785831364363294,1.804675315207883,0.7615026404782738
MIA,-1.1949990105999704,0.2528060250817899,0.21644155235546383,-2.0113911895450762,-1.8578861277582457,-0.13447376509568432
MIL,0.9066496203691816,1.22505128058732,-0.025087282374680844,0.23516800792806566,1.7866113887575972,1.9817222557616894
MIN,0.5367325232725274,-0.05389594826380318,0.20975563305497386,0.3936786745272045,-0.30051592500045077,-0.9523148362469036
NYM,0.956344394941633,-0.10910230346600998,0.3213590552246667,0.48637874852405116,-0.37077724254267674,-0.5933062223879966
NYY,0.6544014608305305,1.0884509401510902,0.8503181321902378,1.6367317573734257,1.9208402576122308,-2.131744461544573
OAK,0.47323570036386975,-1.73981310328504,-0.8108756632388239,0.8350537655261303,0.24395206989285934,-0.17833274998392026
PHI,0.7408669374168929,0.03142296432142555,0.4644283773190353,0.042111368235075254,-1.1630635830802063,0.9580136766658235
PIT,-1.0213818234860863,-0.7503453523531806,-0.33874690032740484,-0.1890075048815485,0.8236651556708524,0.24676202662513388
SDP,1.029313937351817,-0.5553536746838479,1.43829330451973,-0.026567044204726494,0.6485840223816999,0.3699045611190264
SEA,0.16902819424693474,0.5809771365615745,-1.7783024709452728,0.7848116174069324,1.103794968931915,-0.21780583638333237
SFG,-0.30363830719282103,1.5378872933998247,1.414614006997169,0.026969671004253,0.4842022916833106,0.3150808300087318
STL,-0.1856469165714279,0.0052537180242754515,-0.08800655864892085,-0.4021738397978916,0.21866257286217203,-0.3193080585532493
TBR,-1.0611833920734597,1.431656882631942,-2.0412718332503927,-0.8112314257020058,-0.9607476068361455,1.04174446599791
TEX,-0.4017697607789293,0.5533739589604711,0.48638554411268137,-0.7552612234380723,0.3535398903586918,-0.10157952642950764
TOR,0.1494019035297128,1.1385613241038626,0.5005931226262241,-0.025377339422305828,-0.418632752307698,-1.217790691835107
WSN,-1.1164938477310842,-0.34648963083549894,0.8074768185186427,-1.9634064299873972,-0.681643521425696,0.24271350494314278
